Testability smell,Namespace,Class,File,Cause
Excessive Dependency,Ocelot.AcceptanceTests,HttpClientCachingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\HttpClientCachingTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.Requester.IHttpClient' Ocelot.Requester.IHttpClientCache' Ocelot.AcceptanceTests.FakeHttpClientCache' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,HttpDelegatingHandlersTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\HttpDelegatingHandlersTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,HttpDelegatingHandlersTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\HttpDelegatingHandlersTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.FakeDependency' Ocelot.AcceptanceTests.FakeHandlerWithDependency' Ocelot.AcceptanceTests.FakeHandler' Ocelot.AcceptanceTests.FakeHandlerTwo' Ocelot.AcceptanceTests.FakeHandlerAgain' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,HttpTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\HttpTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,LoadBalancerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\LoadBalancerTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,LoadBalancerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\LoadBalancerTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileLoadBalancerOptions' Ocelot.Configuration.File.FileRoute' Ocelot.LoadBalancer.LoadBalancers.ILoadBalancer' Ocelot.LoadBalancer.LoadBalancers.LeastConnection' Ocelot.LoadBalancer.LoadBalancers.RoundRobin' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>' Ocelot.ServiceDiscovery.Providers.IServiceDiscoveryProvider' Ocelot.Values.Service' Ocelot.Values.ServiceHostAndPort' Ocelot.AcceptanceTests.CustomLoadBalancer' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,MethodTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\MethodTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,OpenTracingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\OpenTracingTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,OpenTracingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\OpenTracingTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileHttpHandlerOptions' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.FakeTracer' Ocelot.AcceptanceTests.Wait' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.Steps
Global State,Ocelot.AcceptanceTests,FakeSpanContext,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\OpenTracingTests.cs,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FakeTraceId' FakeSpanId
Hard-wired Dependency,Ocelot.AcceptanceTests,PollyQoSTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\PollyQoSTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Global State,Ocelot.AcceptanceTests,RandomPortFinder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\RandomPortFinder.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Hard-wired Dependency,Ocelot.AcceptanceTests,ReasonPhraseTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ReasonPhraseTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,RequestIdTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\RequestIdTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ResponseCodeTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ResponseCodeTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ReturnsErrorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ReturnsErrorTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,RoutingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\RoutingTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,RoutingWithQueryStringTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\RoutingWithQueryStringTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ServiceDiscoveryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ServiceDiscoveryTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,ServiceDiscoveryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ServiceDiscoveryTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHttpHandlerOptions' Ocelot.Configuration.File.FileLoadBalancerOptions' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ServiceFabricTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ServiceFabricTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,SslTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\SslTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,StartupTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\StartupTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,StartupTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\StartupTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.Repository.IFileConfigurationRepository' Ocelot.Responses.Response' Ocelot.Responses.Response<T>' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.FakeFileConfigurationRepository' Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,Steps,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\Steps.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.ChangeTracking.IOcelotConfigurationChangeTokenSource' Ocelot.Configuration.Creator.IInternalConfigurationCreator' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.Repository.IFileConfigurationRepository' Ocelot.Configuration.Repository.IInternalConfigurationRepository' Ocelot.LoadBalancer.LoadBalancers.ILoadBalancer' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Middleware.OcelotPipelineConfiguration' Ocelot.Multiplexer.IDefinedAggregator' Ocelot.Requester.IHttpClientCache' Ocelot.ServiceDiscovery.Providers.IServiceDiscoveryProvider' Ocelot.AcceptanceTests.BearerToken' Ocelot.AcceptanceTests.FakeDependency' Ocelot.AcceptanceTests.Wait' Ocelot.AcceptanceTests.MockLoggerFactory' Ocelot.AcceptanceTests.TestConfiguration' Ocelot.AcceptanceTests.Caching.InMemoryJsonHandle<TCacheValue>
Law of Demeter violation,Ocelot.AcceptanceTests,Steps,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\Steps.cs,The tool detected the smell in this method (GivenOcelotIsRunningUsingConsulToStoreConfigAndJsonSerializedCache) because the method voilates the law of Demeter. The long chain of method invocations is : Ocelot.Provider.Consul.OcelotBuilderExtensions.AddConsul' Ocelot.Provider.Consul.OcelotBuilderExtensions.AddConfigStoredInConsul
Hard-wired Dependency,Ocelot.AcceptanceTests,StickySessionsTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\StickySessionsTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Global State,Ocelot.AcceptanceTests,TestConfiguration,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\TestConfiguration.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Hard-wired Dependency,Ocelot.AcceptanceTests,TwoDownstreamServicesTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\TwoDownstreamServicesTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,TwoDownstreamServicesTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\TwoDownstreamServicesTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,UpstreamHostTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\UpstreamHostTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,WebSocketTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\WebSocketTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
